timestep,run,subset,network_resource_demand,network_resource_provision,network_resource_demand_supply_ratio,dex_tokens,dex_usdc,dex_token_price,token_incentives_vested,token_seller_vested,token_incentives_vested_cum,token_seller_vested_cum,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_total_supply,token_circulating_supply,token_staked_supply,node_amount,node_profit,node_network_revenue,node_incentive_revenue,node_expenditures,node_apr,node_change_amount,foundation_revenue,foundation_expenditures,foundation_cash_reserves
1,1,0,1200000000.0,1470000000.0,0.8163265306122449,505521705.47150624,2472693.034682081,0.004890893917949564,2054794.5205479453,3515981.735159817,2054794.5205479453,3515981.735159817,49070.784201473034,49070.784201473034,0,0,9999950929.2158,3155521705.471506,150000000,15000,26761.923601637114,18000.000000000004,10231.923601637109,1470.0,62.03178557504875,0.0,5760.000000000001,2739.72602739726,25003020.273972604
2,1,0,1200240000.0,1470000000.0,0.8164897959183673,504072323.2387859,2479802.882190495,0.0048524413134209245,2054794.5205479453,3515981.735159817,4109589.0410958906,7031963.470319634,50158.48842808369,99229.27262955673,0,0,9999900770.727371,3161042323.2387857,156970000,15697,26543.66961264233,18003.600000000002,10010.069612642328,1470.0,61.58923507567794,697.0,5761.152,2739.72602739726,25006041.699945208
3,1,0,1200480048.0,1538306000.0,0.7803909287228938,503633215.0989201,2481964.974757441,0.005015585914875153,2054794.5205479453,3515981.735159817,6164383.561643836,10547945.20547945,49884.395573578426,149113.66820313514,0,0,9999850886.331797,3166563215.09892,162930000,16293,26536.49472713291,18007.20072,10067.600007132913,1538.306,58.82285139519164,596.0,5762.304230400001,2739.72602739726,25009064.27814821
4,1,0,1200720144.0096,1596714000.0,0.751994498707721,503964182.91982275,2480334.9967409614,0.005090317623535176,2054794.5205479453,3515981.735159817,8219178.082191781,14063926.940639269,49808.43480511638,198922.10300825152,0,0,9999801077.896992,3172084182.9198227,168120000,16812,26499.215616816786,18010.802160143998,10085.127456672786,1596.714,56.58688968856128,519.0,5763.45669124608,2739.72602739726,25012088.008812062
5,1,0,1200960288.0384018,1647576000.0,0.7289255779632635,504885076.0011153,2475810.9506830396,0.005086511719991569,2054794.5205479453,3515981.735159817,10273972.602739727,17579908.675799087,49883.17441518881,248805.27742344033,0,0,9999751194.722576,3177605076.0011153,172720000,17272,26438.740615658313,18014.40432057603,10071.912295082282,1647.576,54.718208515070344,460.0,5764.609382584329,2739.72602739726,25015112.89216725
6,1,0,1201200480.0960095,1692656000.0,0.7096542239510033,506295778.6067938,2468912.546416453,0.0050727655098860265,2054794.5205479453,3515981.735159817,12328767.123287672,21095890.410958905,50073.650029237586,298878.9274526779,0,0,9999701121.072548,3183125778.606794,176830000,17683,26360.629685535456,18018.007201440145,10035.27848409531,1692.656,53.11258687948281,411.0,5765.762304460846,2739.72602739726,25018138.92844432
7,1,0,1201440720.1920288,1732934000.0,0.6932986023657155,508106194.0061003,2460115.6505189002,0.005086721097375509,2054794.5205479453,3515981.735159817,14383561.643835617,24611872.146118723,50360.856401271805,349239.78385394975,0,0,9999650760.216146,3188646194.0061,180540000,18054,26268.222888329205,18021.610802880434,9979.54608544877,1732.934,51.70962318598878,371.0,5766.915456921738,2739.72602739726,25021166.117873844
8,1,0,1201681008.3360672,1769292000.0,0.6791874989182494,510256242.408962,2449749.5495569957,0.005124366322514218,2054794.5205479453,3515981.735159817,16438356.164383562,28127853.88127854,50727.85284599908,399967.6366999488,0,0,9999600032.3633,3194166242.4089622,183910000,18391,26164.623069345806,18025.21512504101,9908.699944304799,1769.292,50.463863601781455,337.0,5768.068840013123,2739.72602739726,25024194.46068646
9,1,0,1201921344.5377343,1802318000.0,0.6668752931157178,512695855.06118053,2438092.657977186,0.005094291769474135,2054794.5205479453,3515981.735159817,18493150.68493151,31643835.61643836,51163.60348924631,451131.24018919514,0,0,9999548868.759811,3199685855.0611806,186990000,18699,26052.040929271963,18028.820168066013,9825.538761205948,1802.318,49.3450477794576,308.0,5769.222453781124,2739.72602739726,25027223.957112845
10,1,0,1202161728.8066418,1832502000.0,0.6560220555320768,515384972.30621207,2425371.4546750924,0.005107215991029846,2054794.5205479453,3515981.735159817,20547945.205479454,35159817.35159817,51659.010676209065,502790.2508654042,0,0,9999497209.749134,3205204972.306212,189820000,18982,25932.363198121922,18032.425932099628,9732.439266022297,1832.502,48.3302134425851,283.0,5770.376298271882,2739.72602739726,25030254.60738372
11,1,0,1202402161.152403,1860236000.0,0.646370762178779,518293541.6655508,2411760.709931074,0.005072573252323377,2054794.5205479453,3515981.735159817,22602739.7260274,38675799.08675799,52206.89636896136,554997.1472343656,0,0,9999445002.852766,3210723541.6655507,192430000,19243,25807.13960902089,18036.03241728605,9631.343191734843,1860.2359999999999,47.40203206598845,261.0,5771.530373531536,2739.72602739726,25033286.411729857
